Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Reinhardt,TANK,11.54,50.71,2.51,7.48,XBL,All,43:28.9
Lucio,SUPPORT,8.37,52.23,2.14,11.88,XBL,All,43:28.9
Moira,SUPPORT,7.92,50.59,2.31,9.21,XBL,All,43:28.9
Mercy,SUPPORT,6.72,49.73,2.38,1.7,XBL,All,43:28.9
Zarya,TANK,6.24,50.09,2.24,11.02,XBL,All,43:28.9
D.Va,TANK,5.85,50.97,2.28,7.91,XBL,All,43:28.9
Ana,SUPPORT,5.1,48.04,2.23,9.52,XBL,All,43:28.9
Zenyatta,SUPPORT,3.84,51.99,2.17,8.12,XBL,All,43:28.9
Reaper,OFFENSE,3.52,50.26,2.01,17.02,XBL,All,43:28.9
McCree,OFFENSE,3.12,48.17,1.58,11.37,XBL,All,43:28.9
Orisa,TANK,3.05,53.79,2.34,8.83,XBL,All,43:28.9
Roadhog,TANK,2.98,50.26,1.78,9.82,XBL,All,43:28.9
Junkrat,DEFENSE,2.98,51.57,2.7,11.88,XBL,All,43:28.9
Hanzo,DEFENSE,2.97,49.3,1.99,14,XBL,All,43:28.9
Genji,OFFENSE,2.77,47.41,1.85,10.04,XBL,All,43:28.9
Widowmaker,DEFENSE,2.65,48.31,1.43,9.15,XBL,All,43:28.9
Wrecking Ball,TANK,2.48,51.47,2.1,3.08,XBL,All,43:28.9
Brigitte,SUPPORT,2.47,54.34,1.82,12.45,XBL,All,43:28.9
Ashe,OFFENSE,2.09,50.87,1.98,9.09,XBL,All,43:28.9
Soldier: 76,OFFENSE,1.68,50.54,1.82,11.09,XBL,All,43:28.9
Sombra,OFFENSE,1.65,47.02,2.46,15.28,XBL,All,43:28.9
Symmetra,SUPPORT,1.59,56.88,2.79,9.74,XBL,All,43:28.9
Tracer,OFFENSE,1.55,47.29,1.43,9.02,XBL,All,43:28.9
Winston,TANK,1.35,46.39,1.46,4.95,XBL,All,43:28.9
Mei,DEFENSE,1.34,51.62,2.07,9.71,XBL,All,43:28.9
Pharah,OFFENSE,1.32,49.06,1.53,10.61,XBL,All,43:28.9
Torbjorn,DEFENSE,1.28,56.28,2.91,9.6,XBL,All,43:28.9
Doomfist,OFFENSE,0.78,50.01,1.52,7.25,XBL,All,43:28.9
Bastion,DEFENSE,0.78,49.75,2.97,15.52,XBL,All,43:28.9
D.Va,TANK,10.7,47.1,1.9,6.07,XBL,Bronze,43:28.9
Moira,SUPPORT,9.17,51.25,1.48,5.73,XBL,Bronze,43:28.9
Lucio,SUPPORT,8.42,43.41,2.41,8.1,XBL,Bronze,43:28.9
Mercy,SUPPORT,7.11,42.21,2.22,0.85,XBL,Bronze,43:28.9
Orisa,TANK,5.58,51.48,4.05,4.72,XBL,Bronze,43:28.9
Reinhardt,TANK,5.13,42.22,0.88,4.91,XBL,Bronze,43:28.9
Ana,SUPPORT,3.84,41.82,2.94,6.3,XBL,Bronze,43:28.9
Junkrat,DEFENSE,3.66,42.77,1.85,15.48,XBL,Bronze,43:28.9
Widowmaker,DEFENSE,3.48,34.87,1.3,10.27,XBL,Bronze,43:28.9
Genji,OFFENSE,3.43,43.71,0.66,13.44,XBL,Bronze,43:28.9
Torbjorn,DEFENSE,2.98,51.56,3.03,7.65,XBL,Bronze,43:28.9
Zenyatta,SUPPORT,2.87,50,2.36,8.62,XBL,Bronze,43:28.9
Reaper,OFFENSE,2.73,40.34,1.65,12.23,XBL,Bronze,43:28.9
Ashe,OFFENSE,2.62,41.59,2.59,5.53,XBL,Bronze,43:28.9
Wrecking Ball,TANK,2.62,34.78,0.86,3.08,XBL,Bronze,43:28.9
Brigitte,SUPPORT,2.57,50.88,0,7.88,XBL,Bronze,43:28.9
Sombra,OFFENSE,2.37,31.73,0.95,7.1,XBL,Bronze,43:28.9
Symmetra,SUPPORT,2.37,49,4.76,7.05,XBL,Bronze,43:28.9
Bastion,DEFENSE,2.1,41.76,2.15,12.25,XBL,Bronze,43:28.9
Tracer,OFFENSE,2.08,37.36,1.09,5.94,XBL,Bronze,43:28.9
Roadhog,TANK,2.08,41.57,3.26,12.47,XBL,Bronze,43:28.9
Pharah,OFFENSE,2.03,40.91,2.22,8.15,XBL,Bronze,43:28.9
Hanzo,DEFENSE,1.83,31.65,2.47,15.61,XBL,Bronze,43:28.9
Soldier: 76,OFFENSE,1.72,42.67,1.32,13.97,XBL,Bronze,43:28.9
Zarya,TANK,1.51,40.3,0,9.43,XBL,Bronze,43:28.9
McCree,OFFENSE,1.33,25.86,1.69,14.09,XBL,Bronze,43:28.9
Doomfist,OFFENSE,1.24,18.87,3.64,5.49,XBL,Bronze,43:28.9
Winston,TANK,1.24,41.82,0,3.79,XBL,Bronze,43:28.9
Mei,DEFENSE,1.2,32.08,0,8.16,XBL,Bronze,43:28.9
Moira,SUPPORT,10.09,48.01,2.44,8.16,XBL,Silver,43:28.9
D.Va,TANK,9.71,49.05,2.14,7.67,XBL,Silver,43:28.9
Reinhardt,TANK,8.45,45.65,2.66,6.29,XBL,Silver,43:28.9
Mercy,SUPPORT,8.22,45.89,2.27,1.21,XBL,Silver,43:28.9
Lucio,SUPPORT,7.99,51.14,2.16,10.61,XBL,Silver,43:28.9
Orisa,TANK,4.57,49.66,2.16,6.98,XBL,Silver,43:28.9
Junkrat,DEFENSE,4.34,46.36,1.96,11.63,XBL,Silver,43:28.9
Reaper,OFFENSE,4.06,47,2.03,16.59,XBL,Silver,43:28.9
Zenyatta,SUPPORT,3.55,49.01,2.08,8.76,XBL,Silver,43:28.9
Ana,SUPPORT,3.35,43.45,1.8,7.01,XBL,Silver,43:28.9
Zarya,TANK,2.96,44.71,2.22,6.83,XBL,Silver,43:28.9
Brigitte,SUPPORT,2.66,51.57,1.44,11.15,XBL,Silver,43:28.9
Symmetra,SUPPORT,2.58,56.22,1.8,10,XBL,Silver,43:28.9
Hanzo,DEFENSE,2.3,44.7,2.03,11.79,XBL,Silver,43:28.9
Soldier: 76,OFFENSE,2.21,41.74,1.61,11.31,XBL,Silver,43:28.9
Widowmaker,DEFENSE,2.03,41.04,1.22,6.68,XBL,Silver,43:28.9
Roadhog,TANK,1.96,43.97,1.54,7.71,XBL,Silver,43:28.9
Ashe,OFFENSE,1.89,47.21,1.3,6.43,XBL,Silver,43:28.9
Wrecking Ball,TANK,1.81,47.09,1.51,2.82,XBL,Silver,43:28.9
Torbjorn,DEFENSE,1.8,51.94,1.98,10.02,XBL,Silver,43:28.9
Pharah,OFFENSE,1.79,46.01,1.99,7.42,XBL,Silver,43:28.9
Bastion,DEFENSE,1.78,45.35,2.46,15.33,XBL,Silver,43:28.9
Mei,DEFENSE,1.72,45.39,3.34,9.14,XBL,Silver,43:28.9
Genji,OFFENSE,1.69,42.1,2.44,10.31,XBL,Silver,43:28.9
Winston,TANK,1.58,45.13,2.08,3.97,XBL,Silver,43:28.9
Sombra,OFFENSE,1.49,43.4,3.51,9.71,XBL,Silver,43:28.9
McCree,OFFENSE,1.45,43.76,1.33,10.46,XBL,Silver,43:28.9
Tracer,OFFENSE,1.29,43.87,1.48,7.59,XBL,Silver,43:28.9
Doomfist,OFFENSE,0.68,44.44,2.8,5.17,XBL,Silver,43:28.9
Reinhardt,TANK,10.46,49.88,2.55,7.34,XBL,Gold,43:28.9
Moira,SUPPORT,10.12,48.96,2.33,8.75,XBL,Gold,43:28.9
Lucio,SUPPORT,8.27,51.71,2.25,11.05,XBL,Gold,43:28.9
Mercy,SUPPORT,7.49,47.03,2.64,1.39,XBL,Gold,43:28.9
D.Va,TANK,7.3,50.09,2.36,7.94,XBL,Gold,43:28.9
Zarya,TANK,4.71,47.15,2.57,8.4,XBL,Gold,43:28.9
Reaper,OFFENSE,4.2,49.69,2.28,17.22,XBL,Gold,43:28.9
Orisa,TANK,4.2,52.77,2.9,8.47,XBL,Gold,43:28.9
Junkrat,DEFENSE,4.09,50.19,2.94,11.82,XBL,Gold,43:28.9
Ana,SUPPORT,4.07,43.11,2.58,8.21,XBL,Gold,43:28.9
Zenyatta,SUPPORT,3.66,50.63,1.85,8.45,XBL,Gold,43:28.9
Brigitte,SUPPORT,2.79,53.12,2.04,12.08,XBL,Gold,43:28.9
Hanzo,DEFENSE,2.54,47.68,1.61,12.73,XBL,Gold,43:28.9
Roadhog,TANK,2.44,46.45,2.05,7.8,XBL,Gold,43:28.9
Wrecking Ball,TANK,2.2,48.77,2.24,2.59,XBL,Gold,43:28.9
Widowmaker,DEFENSE,2.11,45.37,1.64,7.77,XBL,Gold,43:28.9
McCree,OFFENSE,1.99,45.55,1.52,10.15,XBL,Gold,43:28.9
Symmetra,SUPPORT,1.9,54.3,3.45,9.81,XBL,Gold,43:28.9
Ashe,OFFENSE,1.89,48.76,2.19,7.76,XBL,Gold,43:28.9
Genji,OFFENSE,1.85,44.24,2.05,8.31,XBL,Gold,43:28.9
Soldier: 76,OFFENSE,1.8,49.62,2.39,10.63,XBL,Gold,43:28.9
Mei,DEFENSE,1.59,50.73,2.35,10.4,XBL,Gold,43:28.9
Pharah,OFFENSE,1.47,46.22,1.43,8.9,XBL,Gold,43:28.9
Torbjorn,DEFENSE,1.43,55.98,3.31,9.5,XBL,Gold,43:28.9
Winston,TANK,1.29,44.67,1.37,4.44,XBL,Gold,43:28.9
Sombra,OFFENSE,1.24,42.86,2.1,12.72,XBL,Gold,43:28.9
Tracer,OFFENSE,1.22,43.58,1.79,8.62,XBL,Gold,43:28.9
Bastion,DEFENSE,1.06,48.83,3.9,15.21,XBL,Gold,43:28.9
Doomfist,OFFENSE,0.58,45.35,1.21,6.68,XBL,Gold,43:28.9
Reinhardt,TANK,11.97,50.53,2.63,7.66,XBL,Platinum,43:28.9
Moira,SUPPORT,8.29,50.99,2.28,9.55,XBL,Platinum,43:28.9
Lucio,SUPPORT,7.67,52.35,2.15,12.26,XBL,Platinum,43:28.9
Mercy,SUPPORT,6.34,49.83,2.47,1.75,XBL,Platinum,43:28.9
Zarya,TANK,6.25,49.6,2.47,10.76,XBL,Platinum,43:28.9
D.Va,TANK,5.72,52.01,2.39,8.26,XBL,Platinum,43:28.9
Ana,SUPPORT,5.53,48.33,2.28,9.7,XBL,Platinum,43:28.9
Zenyatta,SUPPORT,3.91,51.85,2.41,8.31,XBL,Platinum,43:28.9
Reaper,OFFENSE,3.76,50.11,2.1,17.5,XBL,Platinum,43:28.9
McCree,OFFENSE,3.19,47.38,1.6,11.49,XBL,Platinum,43:28.9
Junkrat,DEFENSE,3.14,52.29,2.84,12.44,XBL,Platinum,43:28.9
Genji,OFFENSE,3.06,46.54,1.98,10.3,XBL,Platinum,43:28.9
Hanzo,DEFENSE,2.99,49.12,2.48,14.45,XBL,Platinum,43:28.9
Roadhog,TANK,2.92,50.63,2.04,10.09,XBL,Platinum,43:28.9
Orisa,TANK,2.76,54.47,2.18,9.51,XBL,Platinum,43:28.9
Brigitte,SUPPORT,2.65,55.6,1.84,12.82,XBL,Platinum,43:28.9
Wrecking Ball,TANK,2.56,51.03,2.14,3.08,XBL,Platinum,43:28.9
Widowmaker,DEFENSE,2.56,48.14,1.49,9.25,XBL,Platinum,43:28.9
Ashe,OFFENSE,2.13,50.15,1.83,9.08,XBL,Platinum,43:28.9
Soldier: 76,OFFENSE,1.59,50.02,1.86,11.18,XBL,Platinum,43:28.9
Sombra,OFFENSE,1.58,46.63,2.8,15.33,XBL,Platinum,43:28.9
Tracer,OFFENSE,1.53,46.66,1.51,8.85,XBL,Platinum,43:28.9
Symmetra,SUPPORT,1.44,57.47,2.51,10.46,XBL,Platinum,43:28.9
Mei,DEFENSE,1.35,51.09,2.06,9.98,XBL,Platinum,43:28.9
Pharah,OFFENSE,1.3,50.11,1.62,10.99,XBL,Platinum,43:28.9
Winston,TANK,1.25,46.91,1.65,5.05,XBL,Platinum,43:28.9
Torbjorn,DEFENSE,1.13,57.59,3.11,10.04,XBL,Platinum,43:28.9
Doomfist,OFFENSE,0.86,51.61,1.59,7.63,XBL,Platinum,43:28.9
Bastion,DEFENSE,0.58,49.63,2.9,16.39,XBL,Platinum,43:28.9
Reinhardt,TANK,12.91,52.15,2.52,7.6,XBL,Diamond,43:28.9
Lucio,SUPPORT,8.83,53.03,2.22,12.22,XBL,Diamond,43:28.9
Zarya,TANK,8.05,52.55,1.93,12.27,XBL,Diamond,43:28.9
Moira,SUPPORT,6.15,53.88,2.36,9.85,XBL,Diamond,43:28.9
Ana,SUPPORT,5.83,50.79,2.18,10.17,XBL,Diamond,43:28.9
Mercy,SUPPORT,5.66,52.78,2.16,2.02,XBL,Diamond,43:28.9
McCree,OFFENSE,4.21,50.11,1.83,11.5,XBL,Diamond,43:28.9
Zenyatta,SUPPORT,4.14,53.96,2.04,7.66,XBL,Diamond,43:28.9
D.Va,TANK,4.1,52.08,2.15,7.57,XBL,Diamond,43:28.9
Roadhog,TANK,3.64,52.74,1.58,10.61,XBL,Diamond,43:28.9
Genji,OFFENSE,3.51,51.25,1.68,10.31,XBL,Diamond,43:28.9
Hanzo,DEFENSE,3.43,51.55,1.49,14.3,XBL,Diamond,43:28.9
Widowmaker,DEFENSE,3.23,51.34,1.36,10.06,XBL,Diamond,43:28.9
Reaper,OFFENSE,3.03,53.26,1.45,16.55,XBL,Diamond,43:28.9
Wrecking Ball,TANK,2.64,54.61,2.11,3.12,XBL,Diamond,43:28.9
Ashe,OFFENSE,2.13,53.99,2.1,10.11,XBL,Diamond,43:28.9
Brigitte,SUPPORT,2.11,54.46,1.7,12.74,XBL,Diamond,43:28.9
Orisa,TANK,1.99,55.63,1.76,9.09,XBL,Diamond,43:28.9
Junkrat,DEFENSE,1.88,56.13,2.44,10.97,XBL,Diamond,43:28.9
Sombra,OFFENSE,1.84,49.85,2.58,17.04,XBL,Diamond,43:28.9
Tracer,OFFENSE,1.79,51.22,1.4,9.69,XBL,Diamond,43:28.9
Soldier: 76,OFFENSE,1.6,54.1,1.46,10.99,XBL,Diamond,43:28.9
Winston,TANK,1.37,46.78,1.31,5.6,XBL,Diamond,43:28.9
Symmetra,SUPPORT,1.26,61.67,2.91,8.86,XBL,Diamond,43:28.9
Torbjorn,DEFENSE,1.16,57.36,2.71,9.52,XBL,Diamond,43:28.9
Mei,DEFENSE,1.09,57.69,1.56,9.18,XBL,Diamond,43:28.9
Pharah,OFFENSE,1.09,51.26,1.82,12.52,XBL,Diamond,43:28.9
Doomfist,OFFENSE,0.88,52.53,1.62,7.16,XBL,Diamond,43:28.9
Bastion,DEFENSE,0.47,52.33,2.1,15.51,XBL,Diamond,43:28.9
Reinhardt,TANK,12.89,51.54,2.02,7.15,XBL,Master,43:28.9
Lucio,SUPPORT,10.93,51.47,1.78,12.22,XBL,Master,43:28.9
Zarya,TANK,8.94,51.71,1.95,12.52,XBL,Master,43:28.9
Mercy,SUPPORT,6.78,54.01,2.1,2.28,XBL,Master,43:28.9
Ana,SUPPORT,6.41,51.5,1.62,10.6,XBL,Master,43:28.9
McCree,OFFENSE,4.65,50.93,1.21,11.36,XBL,Master,43:28.9
Zenyatta,SUPPORT,3.9,52.62,2.49,6.93,XBL,Master,43:28.9
Roadhog,TANK,3.76,50.79,1.08,10.07,XBL,Master,43:28.9
Moira,SUPPORT,3.67,52.58,2.15,9.61,XBL,Master,43:28.9
Widowmaker,DEFENSE,3.43,49.3,1.05,9.28,XBL,Master,43:28.9
Hanzo,DEFENSE,3.35,50.86,2.02,13.94,XBL,Master,43:28.9
Genji,OFFENSE,3.19,48.28,1.27,9.99,XBL,Master,43:28.9
D.Va,TANK,3.1,50.11,1.46,6.81,XBL,Master,43:28.9
Wrecking Ball,TANK,3.06,54.59,2.06,3.72,XBL,Master,43:28.9
Sombra,OFFENSE,2.38,49.42,1.9,16.62,XBL,Master,43:28.9
Orisa,TANK,2.16,55.45,1.25,9.36,XBL,Master,43:28.9
Ashe,OFFENSE,2.13,52.93,2.12,10.15,XBL,Master,43:28.9
Tracer,OFFENSE,1.94,48.71,0.7,8.74,XBL,Master,43:28.9
Reaper,OFFENSE,1.83,50.69,1.35,14.12,XBL,Master,43:28.9
Winston,TANK,1.66,46.99,0.68,5.27,XBL,Master,43:28.9
Brigitte,SUPPORT,1.65,54.53,1.78,12.34,XBL,Master,43:28.9
Soldier: 76,OFFENSE,1.38,54.74,1.31,10.15,XBL,Master,43:28.9
Symmetra,SUPPORT,1.27,54.73,2.31,8,XBL,Master,43:28.9
Torbjorn,DEFENSE,1.18,54.92,2.87,8.39,XBL,Master,43:28.9
Pharah,OFFENSE,1.05,52.58,0.21,13.51,XBL,Master,43:28.9
Mei,DEFENSE,0.96,53.94,1.18,6.71,XBL,Master,43:28.9
Junkrat,DEFENSE,0.95,60.14,1.9,8.37,XBL,Master,43:28.9
Doomfist,OFFENSE,0.84,53.91,0.8,7.85,XBL,Master,43:28.9
Bastion,DEFENSE,0.56,55.1,1.21,13.82,XBL,Master,43:28.9
Reinhardt,TANK,10.99,57.04,1.94,8.57,XBL,Grandmaster,43:28.9
Lucio,SUPPORT,9.33,57.7,1.52,14.08,XBL,Grandmaster,43:28.9
Mercy,SUPPORT,9.21,57.32,1.46,2.07,XBL,Grandmaster,43:28.9
Zarya,TANK,8.98,53.61,1.32,17.47,XBL,Grandmaster,43:28.9
McCree,OFFENSE,4.96,50.65,1.12,14.85,XBL,Grandmaster,43:28.9
Roadhog,TANK,4.8,58.74,0.99,14.18,XBL,Grandmaster,43:28.9
Hanzo,DEFENSE,4.44,51.72,1.96,17.62,XBL,Grandmaster,43:28.9
D.Va,TANK,4.05,53.61,2.73,8.21,XBL,Grandmaster,43:28.9
Ana,SUPPORT,3.92,55.53,1.61,12.3,XBL,Grandmaster,43:28.9
Widowmaker,DEFENSE,3.91,57.79,1.41,11.94,XBL,Grandmaster,43:28.9
Ashe,OFFENSE,3.45,58.08,2.06,14.21,XBL,Grandmaster,43:28.9
Sombra,OFFENSE,3.34,56.12,1.18,21.39,XBL,Grandmaster,43:28.9
Zenyatta,SUPPORT,2.91,57.73,1.63,8.6,XBL,Grandmaster,43:28.9
Genji,OFFENSE,2.89,51.52,1.37,12.87,XBL,Grandmaster,43:28.9
Tracer,OFFENSE,2.81,52.69,0.84,11.72,XBL,Grandmaster,43:28.9
Wrecking Ball,TANK,2.75,57.89,1.72,4.9,XBL,Grandmaster,43:28.9
Orisa,TANK,2.36,66.21,1.68,11.81,XBL,Grandmaster,43:28.9
Soldier: 76,OFFENSE,2.19,60.87,0.36,15.66,XBL,Grandmaster,43:28.9
Winston,TANK,1.77,53.88,2.23,5,XBL,Grandmaster,43:28.9
Symmetra,SUPPORT,1.6,61.93,2.48,9.42,XBL,Grandmaster,43:28.9
Pharah,OFFENSE,1.49,56.68,0.53,15.86,XBL,Grandmaster,43:28.9
Torbjorn,DEFENSE,1.47,57.84,0.54,8.59,XBL,Grandmaster,43:28.9
Brigitte,SUPPORT,1.26,56.96,1.25,14.25,XBL,Grandmaster,43:28.9
Bastion,DEFENSE,1.13,66.91,2.8,16.94,XBL,Grandmaster,43:28.9
Reaper,OFFENSE,1.08,51.49,2.19,17.09,XBL,Grandmaster,43:28.9
Mei,DEFENSE,0.97,52.03,0,9.8,XBL,Grandmaster,43:28.9
Doomfist,OFFENSE,0.83,50.48,0,8.97,XBL,Grandmaster,43:28.9
Moira,SUPPORT,0.68,47.06,1.16,11.9,XBL,Grandmaster,43:28.9
Junkrat,DEFENSE,0.43,49.09,0,9.98,XBL,Grandmaster,43:28.9
